n	r	m
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28099,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28100,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28101,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28102,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28103,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28104,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28105,"start":4615,"end":8614,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":8614,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경 권한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28106,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28107,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28108,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28109,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28110,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28111,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28112,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28113,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28114,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28115,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28116,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28117,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28118,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28119,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":28120,"start":4615,"end":8615,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.9,"type":"허용함"},"type":"relationship"}	{"id":8615,"labels":["Entity"],"properties":{"name":"부당하다고 인정되는 사항의 변경 및 이사와 현물출자자에 대한 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31013,"start":4615,"end":9246,"label":"RELATION","properties":{"article":"제361조","confidence":1,"type":"준용함"},"type":"relationship"}	{"id":9246,"labels":["Entity"],"properties":{"name":"제343조 내지 제345조, 제347조 내지 제351조의 규정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31014,"start":4615,"end":9246,"label":"RELATION","properties":{"article":"제361조","confidence":1,"type":"준용함"},"type":"relationship"}	{"id":9246,"labels":["Entity"],"properties":{"name":"제343조 내지 제345조, 제347조 내지 제351조의 규정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31015,"start":4615,"end":9246,"label":"RELATION","properties":{"article":"제361조","confidence":1,"type":"준용함"},"type":"relationship"}	{"id":9246,"labels":["Entity"],"properties":{"name":"제343조 내지 제345조, 제347조 내지 제351조의 규정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31025,"start":4615,"end":9250,"label":"RELATION","properties":{"article":"제361조","confidence":0.85,"type":"요구함"},"type":"relationship"}	{"id":9250,"labels":["Entity"],"properties":{"name":"제360조의 규정에 의한 증거조사 시 특정 규정(제343조 등)의 적용"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31026,"start":4615,"end":9250,"label":"RELATION","properties":{"article":"제361조","confidence":0.85,"type":"요구함"},"type":"relationship"}	{"id":9250,"labels":["Entity"],"properties":{"name":"제360조의 규정에 의한 증거조사 시 특정 규정(제343조 등)의 적용"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":31027,"start":4615,"end":9250,"label":"RELATION","properties":{"article":"제361조","confidence":0.85,"type":"요구함"},"type":"relationship"}	{"id":9250,"labels":["Entity"],"properties":{"name":"제360조의 규정에 의한 증거조사 시 특정 규정(제343조 등)의 적용"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33073,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33074,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33075,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33076,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33077,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33078,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33079,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33080,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33081,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33082,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33083,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33084,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33085,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33086,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33087,"start":4615,"end":9612,"label":"RELATION","properties":{"article":"제422조제3항","confidence":1,"type":"권한을가짐"},"type":"relationship"}	{"id":9612,"labels":["Entity"],"properties":{"name":"검사인 또는 감정인의 보고서 심사 및 부당 사항 변경"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33088,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33089,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33090,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33091,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33092,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33093,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33094,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33095,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33096,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33097,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33098,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33099,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33100,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33101,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":33102,"start":4615,"end":9613,"label":"RELATION","properties":{"article":"제422조제3항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":9613,"labels":["Entity"],"properties":{"name":"변경 사항에 대한 각 이사와 현물출자자 통지"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":37115,"start":4615,"end":10237,"label":"RELATION","properties":{"article":"제426조의3","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":10237,"labels":["Entity"],"properties":{"name":"영업비밀 보호를 위한 소송기록 열람 등의 제한명령"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":37116,"start":4615,"end":10237,"label":"RELATION","properties":{"article":"제426조의3","confidence":0.95,"type":"권한을가짐"},"type":"relationship"}	{"id":10237,"labels":["Entity"],"properties":{"name":"영업비밀 보호를 위한 소송기록 열람 등의 제한명령"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":37119,"start":4615,"end":10239,"label":"RELATION","properties":{"article":"제426조의3","confidence":0.92,"type":"허용함"},"type":"relationship"}	{"id":10239,"labels":["Entity"],"properties":{"name":"소송기록의 열람, 복사, 소송기록 정본·등본·초본의 교부 또는 소송기록 내용의 낭독 제한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":37120,"start":4615,"end":10239,"label":"RELATION","properties":{"article":"제426조의3","confidence":0.92,"type":"허용함"},"type":"relationship"}	{"id":10239,"labels":["Entity"],"properties":{"name":"소송기록의 열람, 복사, 소송기록 정본·등본·초본의 교부 또는 소송기록 내용의 낭독 제한"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39020,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39021,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39022,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39023,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39024,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39025,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39026,"start":4615,"end":10685,"label":"RELATION","properties":{"article":"제335조의14","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10685,"labels":["Entity"],"properties":{"name":"공정한 가액으로 매수가액 산정"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39421,"start":4615,"end":10875,"label":"RELATION","properties":{"article":"제327조제3항","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":10875,"labels":["Entity"],"properties":{"name":"공소기각의 선고"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39424,"start":4615,"end":10878,"label":"RELATION","properties":{"article":"제327조제3항","confidence":0.9,"type":"권한을가짐"},"type":"relationship"}	{"id":10878,"labels":["Entity"],"properties":{"name":"공소기각의 판결"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39458,"start":4615,"end":10909,"label":"RELATION","properties":{"article":"제339조제1항","confidence":0.95,"type":"요구함"},"type":"relationship"}	{"id":10909,"labels":["Entity"],"properties":{"name":"변론을 종결한 기일에 판결을 선고함"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39459,"start":4615,"end":10910,"label":"RELATION","properties":{"article":"제339조제1항","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":10910,"labels":["Entity"],"properties":{"name":"특별한 사정이 있는 경우 따로 기일을 지정함"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39540,"start":4615,"end":10948,"label":"RELATION","properties":{"article":"제417조","confidence":0.92,"type":"권한을가짐"},"type":"relationship"}	{"id":10948,"labels":["Entity"],"properties":{"name":"주식의 액면미달발행 인가"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39541,"start":4615,"end":10948,"label":"RELATION","properties":{"article":"제417조","confidence":0.92,"type":"권한을가짐"},"type":"relationship"}	{"id":10948,"labels":["Entity"],"properties":{"name":"주식의 액면미달발행 인가"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39542,"start":4615,"end":10948,"label":"RELATION","properties":{"article":"제417조","confidence":0.92,"type":"권한을가짐"},"type":"relationship"}	{"id":10948,"labels":["Entity"],"properties":{"name":"주식의 액면미달발행 인가"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39543,"start":4615,"end":10948,"label":"RELATION","properties":{"article":"제417조","confidence":0.92,"type":"권한을가짐"},"type":"relationship"}	{"id":10948,"labels":["Entity"],"properties":{"name":"주식의 액면미달발행 인가"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":39544,"start":4615,"end":10948,"label":"RELATION","properties":{"article":"제417조","confidence":0.92,"type":"권한을가짐"},"type":"relationship"}	{"id":10948,"labels":["Entity"],"properties":{"name":"주식의 액면미달발행 인가"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":40468,"start":4615,"end":11437,"label":"RELATION","properties":{"article":"제447조","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":11437,"labels":["Entity"],"properties":{"name":"징역과 벌금의 병과"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":40469,"start":4615,"end":11437,"label":"RELATION","properties":{"article":"제447조","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":11437,"labels":["Entity"],"properties":{"name":"징역과 벌금의 병과"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":40470,"start":4615,"end":11437,"label":"RELATION","properties":{"article":"제447조","confidence":0.95,"type":"허용함"},"type":"relationship"}	{"id":11437,"labels":["Entity"],"properties":{"name":"징역과 벌금의 병과"},"type":"node"}
{"id":4615,"labels":["Entity"],"properties":{"name":"법원"},"type":"node"}	{"id":40474,"start":4615,"end":11439,"label":"RELATION","properties":{"article":"제447조","confidence":0.9,"type":"권한을가짐"},"type":"relationship"}	{"id":11439,"labels":["Entity"],"properties":{"name":"징역과 벌금의 병과 결정"},"type":"node"}
